",""ID"",""YEAR"",""Yield"",""CIGREEN_VEG"",""GDVI_VEG"",""MSAVI2_VEG"",""NDVI_VEG"",""NDWI_VEG"",""PSRINIR_VEG"",""CIGREEN_REP"",""GDVI_REP"",""MSAVI2_REP"",""NDVI_REP"",""NDWI_REP"",""PSRINIR_REP"",""CIGREEN_MAT"",""GDVI_MAT"",""MSAVI2_MAT"",""NDVI_MAT"",""NDWI_MAT"",""PSRINIR_MAT"""
"1,""AMES1"",2017,1408.848,13.86,27163.283,6.163,3.445,-5.081,3.746,24.948,44094.574,10.024,6.188,-7.167,4.917,55.969,87010.02,22.793,17.26,-17.072,1.822"
"2,""AMES2"",2017,2162.558667,14.02,27937.755,5.976,3.529,-5.129,3.718,27.46,47592.629,9.362,6.961,-7.653,4.438,58.276,89771.322,21.921,18.035,-17.499,1.419"
"3,""AMES3"",2017,1770.002667,13.687,27472.708,5.854,3.333,-5.088,3.914,26.45,45201.108,9.633,6.68,-7.436,4.359,65.275,97368.373,24.516,19.653,-18.7,1.103"
"4,""AMFF1"",2017,2622.096,13.579,25567.41,5.337,3.359,-4.934,3.625,31.321,49204.271,10.011,8.007,-7.979,3.652,66.682,96342.116,28.032,20.416,-18.922,0.258"
"5,""AMFF2"",2017,1935.667333,14.283,26634.848,5.596,3.626,-4.919,3.472,32.308,53678.645,10.336,8.38,-8.558,3.858,60.737,89335.638,26.04,19.231,-18.149,0.193"
"6,""AMFF3"",2017,1232.616,13.958,27775.744,5.81,3.557,-5.099,3.654,24.706,46277.079,11.154,6.138,-7.278,5.105,52.348,87765.037,28.234,16.006,-16.398,2.705"
"7,""AMSF1"",2017,1738.34,14.694,26640.389,5.764,3.579,-4.957,3.656,29.343,51069.962,11.87,7.228,-8.127,4.708,53.154,83702.5,28.227,16.576,-16.759,1.704"
"8,""AMSF2"",2017,2326.752,13.853,27107.005,5.749,3.376,-5.124,3.89,28.844,46599.214,10.448,7.292,-7.797,4.038,67.912,97602.452,27.463,20.424,-19.106,0.581"
"9,""AMSF3"",2017,1346.8,14.165,28281.683,6.045,3.549,-5.119,3.735,25.81,47147.418,10.086,6.331,-7.44,5.137,54.54,88572.929,24.292,16.604,-16.855,2.358"
"10,""AMSS1"",2017,560.4266667,13.736,27255.722,6.021,3.412,-5.055,3.771,24.002,43752.26,10.81,5.957,-7.068,5.066,55.547,89440.795,25.846,16.856,-16.956,2.338"
"11,""AMSS2"",2017,1062.824667,13.902,27293.226,6.128,3.493,-4.933,3.723,23.704,46550.731,12.416,5.754,-7.115,5.602,47.006,80597.875,27.091,14.461,-15.409,2.949"
"12,""AMSS3"",2017,768.6793333,14.199,25996.372,6.334,3.776,-5.058,3.273,25.014,43583.776,10.315,6.49,-7.232,4.723,46.863,76035.992,22.547,15.002,-15.294,2.381"
